train_loss	val_loss
4.087900906921881	4.066366953008315
4.067767055893716	4.059708146487965
4.063573257643202	4.058472184573903
4.071238439092752	4.06255438748528
4.064816417964364	4.057224273681641
4.109454261629205	4.068472693948185
4.07755888377124	4.090271108290729
4.073824673529096	4.07913869969985
4.071712229898584	4.083445352666518
4.070283538899441	4.082556275760426
4.068081247179132	4.0814290046691895
4.06855417987113	4.082245630376479
4.07038036917868	4.084124621223001
4.06852277908248	4.087439621196074
4.068643940605133	4.087486014646642
